NodeIndex,GeneSymbol,AAA,PAD,AMI,Stroke,HeartFailure
55,AMELY,0,0,0,0,0
56,NFYA,0,0,0,0,0
57,IHH,0,0,0,0,0
58,TMSB4Y,0,0,0,0,0
59,KPNA1,0,0,0,0,0
60,CST3,1,0,0,1,0
61,PELO,0,0,0,0,0
62,IL2RA,0,0,0,0,0
63,MARCHF5,0,0,0,0,0
64,HBQ1,0,0,0,0,0
65,CRY1,0,0,0,0,0
66,APOBEC3G,0,0,0,0,0
67,RPL8,0,0,0,0,0
68,AOC1,0,0,0,0,0
69,ATG5,0,0,0,0,0
70,PIH1D3,0,0,0,0,0
71,RNF4,0,0,0,0,0
72,STRN,0,0,0,0,0
73,DSP,0,0,0,0,1
74,TLR7,0,0,0,0,0
75,SRF,0,0,0,0,0
76,RSRC1,0,0,0,0,0
77,P2RX7,0,0,0,0,0
78,STRN4,0,0,0,0,0
79,H3-3A,0,0,0,0,0
80,STK36,0,0,0,0,0
81,PDE6C,0,0,0,0,0
82,CAPZA1,0,0,0,0,0
83,CLINT1,0,0,0,0,0
84,SMG7,0,0,0,0,0
85,SSR4,0,0,0,0,0
86,FANCG,0,0,0,0,0
87,IL1R1,0,0,0,0,0
88,ENSP00000490530,0,0,0,0,0
89,DAOA,0,0,0,0,0
90,OXT,0,0,0,0,0
91,PFKFB2,0,0,0,0,0
92,CCNDBP1,0,0,0,0,0
93,HOXA13,0,0,0,0,0
94,WAPL,0,0,0,0,0
95,CNOT3,0,0,0,0,0
96,PHEX,0,0,0,0,0
97,TRMT6,0,0,0,0,0
98,HYOU1,0,0,0,0,0
99,ZC3H6,0,0,0,0,0
100,PLN,0,0,0,0,1
101,AGMAT,0,0,0,0,0
102,DEFA1B,0,0,0,0,0
103,GJA1,0,0,0,0,1
104,MAP3K3,0,0,0,0,0
105,HHAT,0,0,0,0,0
106,MRPL39,0,0,0,0,0
107,ITGA10,0,0,0,0,0
108,GHRH,0,0,0,0,0
109,SMARCE1,0,0,0,0,0
110,ENSP00000492220,0,0,0,0,0
111,TTLL6,0,0,0,0,0
112,MIXL1,0,0,0,0,0
113,KCNJ1,0,0,0,0,0
114,APBB3,0,0,0,0,0
115,NAAA,0,0,0,0,0
116,LPCAT3,0,0,0,0,0
117,IFNL1,0,0,0,0,0
118,SLAMF1,0,0,0,0,0
119,RPL39L,0,0,0,0,0
120,FBN1,1,1,0,1,1
121,PIGO,0,0,0,0,0
122,PSMA7,0,0,0,0,0
123,ACTR10,0,0,0,0,0
124,LDLR,0,1,1,0,0
125,VIL1,0,0,0,0,0
126,ELL,0,0,0,0,0
127,PDHA1,0,0,0,0,0
128,LRP6,0,0,0,0,0
129,JUND,0,0,0,0,0
130,CHN2,0,0,0,0,0
131,PRKRA,0,0,0,0,0
132,CACNB4,0,0,0,0,0
133,MUC5B,0,0,0,0,0
134,CSAD,0,0,0,0,0
135,SCP2,0,0,0,0,0
136,RAPGEF4,0,0,0,0,0
137,VCX,0,0,0,0,0
138,TIMM8B,0,0,0,0,0
139,HSPBP1,0,0,0,0,0
140,CBFA2T3,0,0,0,0,0
141,RCC1,0,0,0,0,0
142,IL21,0,0,0,0,0
143,H3C15,0,0,0,0,0
144,ABCF2-2,0,0,0,0,0
145,PAK3,0,0,0,0,0
146,ASGR2,0,0,0,0,0
147,ACTL6A,0,0,0,0,0
148,GTF2H5,0,0,0,0,0
149,ST6GALNAC1,0,0,0,0,0
150,VPS33A,0,0,0,0,1
151,SNRPB2,0,0,0,0,0
